epoch,val_accuracy,val_macro_f1
1,0.967741935483871,0.9676988494370904
2,0.9609902475618904,0.9607509679074284
3,0.9737434358589647,0.9745164919243473
4,0.9722430607651913,0.97255311249251
5,0.9512378094523631,0.9526120197883873
6,0.9752438109527382,0.9759408807607715
7,0.9699924981245311,0.970960879603273
8,0.9744936234058514,0.9751997347927425
9,0.967741935483871,0.9678584772080764
10,0.940735183795949,0.9388299432297357
11,0.9752438109527382,0.9761025756582252
12,0.9744936234058514,0.9752514766980306
13,0.9504876219054764,0.9517458071035065
14,0.9752438109527382,0.9760394899425724
15,0.972993248312078,0.9739392838967896
16,0.9737434358589647,0.9744904775708175
