epoch,val_accuracy,val_macro_f1
1,0.7171792948237059,0.6789135434728054
2,0.9422355588897224,0.9406220410007556
3,0.9227306826706677,0.9212666440148417
4,0.9654913728432108,0.9659569628858247
5,0.9527381845461366,0.9514977659423897
6,0.9609902475618904,0.9621993062766437
7,0.9722430607651913,0.9727681758599624
8,0.9752438109527382,0.9759897177853732
9,0.9099774943735934,0.909357727951906
10,0.9714928732183046,0.9720204542903029
11,0.9609902475618904,0.9603355155054024
12,0.9564891222805701,0.9554041018639187
13,0.967741935483871,0.9677474385313753
