Model,Accuracy,Macro-F1
CNN-LSTM (Subject Split),0.8403256105197244,0.8449341386718897
GRU (Subject Split),0.8371947401377583,0.8419817284139377
CNN1D (Subject Split),0.8378209142141515,0.8417374876563493
LogReg (Subject Split),0.5109580463368817,0.4930785164544025
